Central, Accuracy, Experiment,   Time (hrs)
23.763, 17.194, data/LOCAL_experiment_1/uniform_fixed_eps_lr02_ep1_bs1_6/, 0.006
14.542, 24.598, data/LOCAL_experiment_1/none_lr02_ep1_bs1_6/, 0.007
8.554, 29.149, data/LOCAL_experiment_1/none_lr02_ep1_bs1_6/, 0.010
15.239, 44.519, data/LOCAL_experiment_1/weighted_fixed_eps_lr02_ep1_bs1_6/, 0.007
10.619, 48.998, data/LOCAL_experiment_1/uniform_fixed_eps_lr02_ep1_bs1_6/, 0.006
9.342, 49.924, data/LOCAL_experiment_1/weighted_vary_eps_lr02_ep1_bs1_6/, 0.007
32.144, 51.595, data/LOCAL_experiment_1/uniform_fixed_eps_lr02_ep1_bs1_6/, 0.006
15.737, 56.039, data/LOCAL_experiment_1/none_lr02_ep1_bs1_6/, 0.007
29.387, 56.205, data/LOCAL_experiment_1/uniform_vary_eps_lr02_ep1_bs1_6/, 0.007
13.546, 56.565, data/LOCAL_experiment_1/uniform_fixed_eps_lr02_ep1_bs1_6/, 0.006
8.200, 57.738, data/LOCAL_experiment_1/uniform_vary_eps_lr02_ep1_bs1_6/, 0.007
20.002, 57.865, data/LOCAL_experiment_1/weighted_vary_eps_lr02_ep1_bs1_6/, 0.006
16.508, 58.728, data/LOCAL_experiment_1/uniform_vary_eps_lr02_ep1_bs1_6/, 0.008
6.200, 59.642, data/LOCAL_experiment_1/weighted_fixed_eps_lr02_ep1_bs1_6/, 0.006
1.878, 61.838, data/LOCAL_experiment_1/weighted_fixed_eps_lr02_ep1_bs1_6/, 0.006
26.768, 62.066, data/LOCAL_experiment_1/none_lr02_ep1_bs1_6/, 0.007
6.276, 63.690, data/LOCAL_experiment_1/uniform_vary_eps_lr02_ep1_bs1_6/, 0.006
29.425, 64.865, data/LOCAL_experiment_1/weighted_fixed_eps_lr02_ep1_bs1_6/, 0.008
8.132, 65.403, data/LOCAL_experiment_1/weighted_vary_eps_lr02_ep1_bs1_6/, 0.008
4.770, 66.784, data/LOCAL_experiment_1/weighted_vary_eps_lr02_ep1_bs1_6/, 0.006
27.405, 67.412, data/LOCAL_experiment_1/none_lr02_ep1_bs1_6/, 0.007
12.704, 68.304, data/LOCAL_experiment_1/uniform_vary_eps_lr02_ep1_bs1_6/, 0.006
19.756, 71.429, data/LOCAL_experiment_1/uniform_fixed_eps_lr02_ep1_bs1_6/, 0.008
