1,2,13.53601
1,4,12.83517
1,6,12.61263
1,8,12.32515
1,10,11.73218
EPOCH1,12.598,33.587

2,2,11.48145
2,4,11.66729
2,6,11.14514
2,8,11.33839
2,10,10.98063
EPOCH2,11.343,56.399

3,2,11.12281
3,4,10.52739
3,6,10.57027
3,8,11.03413
3,10,10.45475
EPOCH3,10.708,64.030

4,2,10.40100
4,4,10.31721
4,6,10.66894
4,8,10.24750
4,10,10.12983
EPOCH4,10.370,65.655

5,2,10.11634
5,4,10.13666
5,6,10.58724
5,8,9.84618
5,10,10.15192
EPOCH5,10.205,66.713

6,2,10.08725
6,4,10.22555
6,6,9.93184
6,8,10.15175
6,10,10.03005
EPOCH6,10.108,68.064

7,2,9.85069
7,4,9.88812
7,6,10.44751
7,8,10.02655
7,10,9.91248
EPOCH7,10.020,69.341

8,2,9.90251
8,4,10.09785
8,6,9.99969
8,8,9.73877
8,10,9.78183
EPOCH8,9.956,69.760

9,2,10.10864
9,4,9.79403
9,6,9.63721
9,8,9.86380
9,10,10.08799
EPOCH9,9.914,70.302

10,2,9.73713
10,4,9.91151
10,6,9.72012
10,8,10.06430
10,10,9.93078
EPOCH10,9.871,70.588

11,2,9.79996
11,4,9.68930
11,6,9.74734
11,8,10.23852
11,10,9.76432
EPOCH11,9.835,70.860

12,2,9.94785
12,4,10.15155
12,6,9.84103
12,8,9.65355
12,10,9.54482
EPOCH12,9.803,71.171

13,2,9.90937
13,4,9.59524
13,6,10.03493
13,8,9.66074
13,10,9.78096
EPOCH13,9.786,70.840

14,2,10.13692
14,4,9.79815
14,6,9.99628
14,8,9.61888
14,10,9.66713
EPOCH14,9.775,71.046

15,2,9.96155
15,4,9.47269
15,6,9.93021
15,8,9.90956
15,10,9.51561
EPOCH15,9.743,71.215

16,2,9.70032
16,4,9.81111
16,6,9.41934
16,8,9.44227
16,10,10.04029
EPOCH16,9.715,71.403

17,2,9.62659
17,4,9.59729
17,6,9.65787
17,8,9.62680
17,10,9.87236
EPOCH17,9.680,71.633

18,2,9.65242
18,4,9.55749
18,6,9.74426
18,8,9.56605
18,10,9.87788
EPOCH18,9.648,71.680

19,2,9.64970
19,4,9.79511
19,6,9.59200
19,8,9.46083
19,10,9.70723
EPOCH19,9.630,71.610

20,2,9.78419
20,4,9.49237
20,6,9.53466
20,8,9.65614
20,10,9.64391
EPOCH20,9.616,71.892

21,2,9.77342
21,4,9.65810
21,6,9.35330
21,8,9.52905
21,10,9.81426
EPOCH21,9.602,71.893

22,2,9.62357
22,4,9.34036
22,6,9.76332
22,8,9.40485
22,10,9.71937
EPOCH22,9.586,72.050

23,2,9.62374
23,4,9.35354
23,6,9.67568
23,8,9.75082
23,10,9.58604
EPOCH23,9.578,71.997

24,2,9.30453
24,4,9.54228
24,6,9.81875
24,8,9.51125
24,10,9.79908
EPOCH24,9.571,72.057

25,2,9.70627
25,4,9.58307
25,6,9.29129
25,8,9.48716
25,10,9.66219
EPOCH25,9.562,72.041

26,2,9.31107
26,4,9.49222
26,6,9.37784
26,8,9.41648
26,10,9.84897
EPOCH26,9.542,72.087

27,2,9.61646
27,4,9.41289
27,6,9.54555
27,8,9.61096
27,10,9.73548
EPOCH27,9.538,72.226

28,2,9.44457
28,4,9.56879
28,6,9.19803
28,8,9.88728
28,10,9.62455
EPOCH28,9.525,72.215

29,2,9.57636
29,4,9.49309
29,6,9.36501
29,8,9.35964
29,10,9.75369
EPOCH29,9.511,72.181

30,2,9.38740
30,4,9.46514
30,6,9.42453
30,8,9.86714
30,10,9.35071
EPOCH30,9.498,72.303

31,2,9.45398
31,4,9.36438
31,6,9.71357
31,8,9.41174
31,10,9.31042
EPOCH31,9.487,72.359

32,2,9.45132
32,4,9.58704
32,6,9.46230
32,8,9.58333
32,10,9.15647
EPOCH32,9.482,72.356

33,2,9.39353
33,4,9.55631
33,6,9.82758
33,8,9.31699
33,10,9.35011
EPOCH33,9.477,72.337

34,2,9.48787
34,4,9.67101
34,6,9.56280
34,8,9.63267
34,10,9.01794
EPOCH34,9.466,72.369

35,2,9.65213
35,4,9.20258
35,6,9.36972
35,8,9.56179
35,10,9.56167
EPOCH35,9.450,72.436

36,2,9.85065
36,4,9.42405
36,6,9.27242
36,8,9.33332
36,10,9.19881
EPOCH36,9.444,72.448

37,2,9.55702
37,4,9.65005
37,6,9.56944
37,8,9.25808
37,10,9.28468
EPOCH37,9.428,72.572

38,2,9.43245
38,4,9.48476
38,6,9.38910
38,8,9.44357
38,10,9.43935
EPOCH38,9.415,72.660

39,2,9.24044
39,4,9.52225
39,6,9.41981
39,8,9.56744
39,10,9.25323
EPOCH39,9.407,72.738

40,2,9.15401
40,4,9.67835
40,6,9.54276
40,8,9.39544
40,10,9.28370
EPOCH40,9.398,72.745

41,2,9.17878
41,4,9.17387
41,6,9.62179
41,8,9.12211
41,10,9.53909
EPOCH41,9.391,72.838

42,2,9.29408
42,4,9.56998
42,6,9.41547
42,8,9.28284
42,10,9.32176
EPOCH42,9.385,72.879

43,2,9.15370
43,4,9.61688
43,6,9.31525
43,8,9.49404
43,10,9.25394
EPOCH43,9.378,72.916

44,2,9.47528
44,4,9.77177
44,6,9.56952
44,8,8.95473
44,10,9.12052
EPOCH44,9.373,72.945

45,2,9.09312
45,4,9.44446
45,6,9.54805
45,8,9.62098
45,10,9.07397
EPOCH45,9.366,72.974

46,2,9.38765
46,4,9.13389
46,6,9.31031
46,8,9.55058
46,10,9.43019
EPOCH46,9.360,72.987

47,2,9.11310
47,4,9.47628
47,6,9.46251
47,8,9.34837
47,10,9.21815
EPOCH47,9.358,73.057

48,2,9.27118
48,4,9.45318
48,6,9.07024
48,8,9.59597
48,10,9.40919
EPOCH48,9.348,73.055

49,2,9.40759
49,4,9.36091
49,6,9.33859
49,8,9.42542
49,10,9.14044
EPOCH49,9.342,73.128

50,2,9.42988
50,4,9.27788
50,6,9.38863
50,8,8.88718
50,10,9.54032
EPOCH50,9.334,73.114

51,2,9.61855
51,4,8.86458
51,6,9.41288
51,8,9.34373
51,10,9.18870
EPOCH51,9.332,73.156

52,2,9.34421
52,4,9.45459
52,6,9.22195
52,8,9.43097
52,10,9.33373
EPOCH52,9.325,73.163

53,2,9.55207
53,4,9.24660
53,6,9.37262
53,8,9.40725
53,10,9.14335
EPOCH53,9.322,73.153

54,2,9.10519
54,4,9.37391
54,6,9.26854
54,8,9.36738
54,10,9.48021
EPOCH54,9.319,73.182

55,2,9.69534
55,4,8.79931
55,6,9.12721
55,8,9.44805
55,10,9.44050
EPOCH55,9.317,73.116

56,2,8.83361
56,4,9.35177
56,6,9.56169
56,8,9.44391
56,10,9.57871
EPOCH56,9.305,73.251

57,2,9.72416
57,4,9.06929
57,6,9.21238
57,8,9.23813
57,10,9.30361
EPOCH57,9.295,73.300

58,2,9.28111
58,4,9.51858
58,6,9.05101
58,8,9.35033
58,10,9.03770
EPOCH58,9.286,73.351

59,2,9.20794
59,4,9.36444
59,6,8.99641
59,8,9.50630
59,10,9.37644
EPOCH59,9.283,73.364

60,2,9.57324
60,4,9.51982
60,6,9.33020
60,8,8.89231
60,10,9.46667
EPOCH60,9.281,73.437

61,2,9.29413
61,4,9.48949
61,6,9.02834
61,8,9.68029
61,10,9.19122
EPOCH61,9.273,73.408

62,2,9.17807
62,4,9.66977
62,6,9.37818
62,8,8.78219
62,10,9.20567
EPOCH62,9.267,73.479

63,2,9.24131
63,4,8.90152
63,6,9.64446
63,8,9.26774
63,10,9.38040
EPOCH63,9.265,73.410

64,2,9.41035
64,4,8.88425
64,6,9.44903
64,8,9.25650
64,10,9.30022
EPOCH64,9.258,73.479

65,2,9.24123
65,4,9.28040
65,6,9.09248
65,8,9.41543
65,10,9.33534
EPOCH65,9.251,73.526

66,2,9.58436
66,4,8.99465
66,6,9.27626
66,8,9.17139
66,10,9.14652
EPOCH66,9.244,73.535

67,2,9.01850
67,4,9.27884
67,6,8.99436
67,8,9.25201
67,10,9.51765
EPOCH67,9.242,73.576

68,2,9.16312
68,4,9.12113
68,6,9.34252
68,8,8.99796
68,10,9.52255
EPOCH68,9.235,73.592

69,2,9.47082
69,4,8.75848
69,6,9.11155
69,8,9.35484
69,10,8.94935
EPOCH69,9.230,73.617

70,2,9.07492
70,4,9.29822
70,6,9.12730
70,8,9.22067
70,10,9.51318
EPOCH70,9.232,73.517

71,2,9.09892
71,4,9.32868
71,6,9.46579
71,8,9.34248
71,10,9.03819
EPOCH71,9.228,73.605

72,2,9.15533
72,4,9.43899
72,6,9.46500
72,8,9.36672
72,10,8.67153
EPOCH72,9.221,73.609

73,2,8.97208
73,4,9.28444
73,6,9.24727
73,8,9.21863
73,10,9.26733
EPOCH73,9.208,73.654

74,2,9.31852
74,4,8.91795
74,6,9.53115
74,8,9.34491
74,10,9.24171
