Central, Accuracy, Experiment,   Time (hrs)
84.439, 94.564, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_2/, 1.858
83.016, 96.512, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_4/, 1.854
85.067, 96.695, data/experiment_2/none_lr0001_ep150_bs8_1/, 1.365
84.813, 96.698, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_0/, 1.863
84.669, 96.701, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_3/, 1.861
84.866, 96.776, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_1/, 1.860
85.296, 96.804, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_1/, 1.858
85.817, 96.822, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_4/, 1.861
86.230, 96.845, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_0/, 1.869
85.407, 96.849, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_0/, 1.330
84.971, 96.865, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_4/, 1.323
85.831, 96.869, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_2/, 1.862
85.531, 96.888, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_1/, 1.874
84.795, 96.889, data/experiment_2/none_lr0001_ep150_bs8_4/, 1.390
85.303, 96.889, data/experiment_2/none_lr0001_ep150_bs8_3/, 1.383
85.077, 96.890, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_2/, 1.876
84.808, 96.891, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_4/, 1.875
85.077, 96.900, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_2/, 1.330
85.928, 96.905, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_3/, 1.323
85.242, 96.934, data/experiment_2/none_lr0001_ep150_bs8_2/, 1.376
85.278, 96.949, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_1/, 1.330
85.398, 96.951, data/experiment_2/none_lr0001_ep150_bs8_0/, 1.357
85.806, 96.974, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_0/, 1.880
85.791, 96.998, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_3/, 1.852
86.078, 97.036, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_3/, 1.869
