Central, Accuracy, Smoothing_Type,   Time
85.278, 96.949, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_1/, 1.330
85.242, 96.934, data/experiment_2/none_lr0001_ep150_bs8_2/, 1.376
85.806, 96.974, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_0/, 1.880
84.813, 96.698, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_0/, 1.863
86.230, 96.845, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_0/, 1.869
85.077, 96.900, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_2/, 1.330
85.303, 96.889, data/experiment_2/none_lr0001_ep150_bs8_3/, 1.383
85.928, 96.905, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_3/, 1.323
85.531, 96.888, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_1/, 1.874
84.866, 96.776, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_1/, 1.860
85.296, 96.804, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_1/, 1.858
84.795, 96.889, data/experiment_2/none_lr0001_ep150_bs8_4/, 1.390
84.971, 96.865, data/experiment_2/uniform_fixed_eps_lr0001_ep150_bs8_4/, 1.323
85.077, 96.890, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_2/, 1.876
85.831, 96.869, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_2/, 1.862
84.439, 94.564, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_2/, 1.858
86.078, 97.036, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_3/, 1.869
85.791, 96.998, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_3/, 1.852
84.669, 96.701, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_3/, 1.861
84.808, 96.891, data/experiment_2/uniform_vary_eps_lr0001_ep150_bs8_4/, 1.875
83.016, 96.512, data/experiment_2/weighted_vary_eps_lr0001_ep150_bs8_4/, 1.854
85.817, 96.822, data/experiment_2/weighted_fixed_eps_lr0001_ep150_bs8_4/, 1.861
