1,4,1.535
1,8,0.690
1,12,0.429
1,16,0.327
1,20,0.263
EPOCH1,1.362,56.383

2,4,1.255
2,8,0.646
2,12,0.420
2,16,0.291
2,20,0.253
EPOCH2,1.240,65.641

3,4,1.176
3,8,0.597
3,12,0.399
3,16,0.289
3,20,0.241
EPOCH3,1.180,68.650

4,4,1.138
4,8,0.554
4,12,0.370
4,16,0.281
4,20,0.228
EPOCH4,1.130,69.589

5,4,1.115
5,8,0.535
5,12,0.371
5,16,0.274
5,20,0.213
EPOCH5,1.091,70.036

6,4,1.072
6,8,0.532
6,12,0.347
6,16,0.265
6,20,0.214
EPOCH6,1.058,70.112

7,4,1.006
7,8,0.529
7,12,0.342
7,16,0.263
7,20,0.196
EPOCH7,1.021,70.379

8,4,1.029
8,8,0.498
8,12,0.342
8,16,0.240
8,20,0.203
EPOCH8,1.002,69.875

9,4,1.000
9,8,0.489
9,12,0.317
9,16,0.242
9,20,0.191
EPOCH9,0.967,70.412

10,4,0.955
10,8,0.474
10,12,0.312
10,16,0.238
10,20,0.181
EPOCH10,0.937,70.338

11,4,0.935
11,8,0.438
11,12,0.308
11,16,0.228
11,20,0.177
EPOCH11,0.906,70.620

12,4,0.861
12,8,0.453
12,12,0.296
12,16,0.218
12,20,0.176
EPOCH12,0.880,70.777

13,4,0.849
13,8,0.428
13,12,0.290
13,16,0.205
13,20,0.175
EPOCH13,0.854,70.672

14,4,0.844
14,8,0.403
14,12,0.268
14,16,0.216
14,20,0.165
EPOCH14,0.829,70.803

15,4,0.779
15,8,0.403
15,12,0.269
15,16,0.192
15,20,0.173
EPOCH15,0.806,70.934

16,4,0.821
16,8,0.395
16,12,0.259
16,16,0.193
16,20,0.159
EPOCH16,0.783,71.011

17,4,0.776
17,8,0.377
17,12,0.259
17,16,0.193
17,20,0.147
EPOCH17,0.763,71.062

18,4,0.753
18,8,0.367
18,12,0.257
18,16,0.179
18,20,0.152
EPOCH18,0.745,71.017

19,4,0.751
19,8,0.373
19,12,0.236
19,16,0.178
19,20,0.145
EPOCH19,0.726,71.024

20,4,0.691
20,8,0.372
20,12,0.227
20,16,0.177
20,20,0.143
EPOCH20,0.711,71.023

21,4,0.693
21,8,0.361
21,12,0.232
21,16,0.165
21,20,0.139
EPOCH21,0.695,71.032

22,4,0.677
22,8,0.353
22,12,0.220
22,16,0.169
22,20,0.134
EPOCH22,0.678,71.081

23,4,0.665
23,8,0.340
23,12,0.223
23,16,0.166
23,20,0.129
EPOCH23,0.665,71.189

24,4,0.638
24,8,0.327
24,12,0.224
24,16,0.161
24,20,0.128
EPOCH24,0.654,71.353

25,4,0.649
25,8,0.329
25,12,0.206
25,16,0.163
25,20,0.128
EPOCH25,0.646,71.391

26,4,0.655
26,8,0.317
26,12,0.211
26,16,0.161
26,20,0.129
EPOCH26,0.640,71.378

27,4,0.619
27,8,0.309
27,12,0.216
27,16,0.162
27,20,0.127
EPOCH27,0.633,71.396

28,4,0.639
28,8,0.310
28,12,0.218
28,16,0.156
28,20,0.124
EPOCH28,0.626,71.551

29,4,0.590
29,8,0.312
29,12,0.203
29,16,0.162
29,20,0.125
EPOCH29,0.620,71.613

30,4,0.601
30,8,0.309
30,12,0.198
30,16,0.154
30,20,0.125
EPOCH30,0.614,71.678

31,4,0.617
31,8,0.298
31,12,0.210
31,16,0.150
31,20,0.121
EPOCH31,0.609,71.689

32,4,0.628
32,8,0.304
32,12,0.205
32,16,0.144
32,20,0.122
EPOCH32,0.604,71.594

33,4,0.618
33,8,0.305
33,12,0.203
33,16,0.150
33,20,0.114
EPOCH33,0.597,71.586

34,4,0.590
34,8,0.288
34,12,0.189
34,16,0.149
34,20,0.127
EPOCH34,0.591,71.786

35,4,0.558
35,8,0.290
35,12,0.199
35,16,0.149
35,20,0.118
EPOCH35,0.586,71.860

36,4,0.557
36,8,0.291
36,12,0.199
36,16,0.150
36,20,0.113
EPOCH36,0.583,71.926

37,4,0.577
37,8,0.307
37,12,0.185
37,16,0.144
37,20,0.118
EPOCH37,0.580,71.991

38,4,0.572
38,8,0.291
38,12,0.197
38,16,0.144
38,20,0.111
EPOCH38,0.577,72.103

39,4,0.576
39,8,0.301
39,12,0.189
39,16,0.144
39,20,0.111
EPOCH39,0.574,71.995

40,4,0.568
40,8,0.292
40,12,0.196
40,16,0.138
40,20,0.114
EPOCH40,0.572,72.197

41,4,0.570
41,8,0.291
41,12,0.185
41,16,0.140
41,20,0.115
EPOCH41,0.571,71.919

42,4,0.557
42,8,0.288
42,12,0.200
42,16,0.139
42,20,0.114
EPOCH42,0.568,71.960

43,4,0.584
43,8,0.270
43,12,0.189
43,16,0.142
43,20,0.115
EPOCH43,0.565,72.240

44,4,0.553
44,8,0.287
44,12,0.185
44,16,0.144
44,20,0.111
EPOCH44,0.563,72.076

45,4,0.567
45,8,0.291
45,12,0.187
45,16,0.138
45,20,0.109
EPOCH45,0.560,72.098

46,4,0.569
46,8,0.279
46,12,0.190
46,16,0.130
46,20,0.112
EPOCH46,0.558,72.493

47,4,0.546
47,8,0.277
47,12,0.189
47,16,0.142
47,20,0.108
EPOCH47,0.555,72.057

48,4,0.587
48,8,0.273
48,12,0.175
48,16,0.138
48,20,0.109
EPOCH48,0.552,72.402

49,4,0.537
49,8,0.281
49,12,0.185
49,16,0.137
49,20,0.112
EPOCH49,0.550,72.091

50,4,0.544
50,8,0.269
50,12,0.183
50,16,0.137
50,20,0.110
EPOCH50,0.548,72.559

51,4,0.539
51,8,0.276
51,12,0.181
51,16,0.137
51,20,0.110
EPOCH51,0.545,72.477

52,4,0.525
52,8,0.270
52,12,0.185
52,16,0.136
52,20,0.107
EPOCH52,0.543,72.280

53,4,0.559
53,8,0.273
53,12,0.171
53,16,0.134
53,20,0.112
EPOCH53,0.541,72.331

54,4,0.563
54,8,0.273
54,12,0.177
54,16,0.133
54,20,0.104
EPOCH54,0.538,72.409

55,4,0.543
55,8,0.276
55,12,0.169
55,16,0.138
55,20,0.108
EPOCH55,0.536,72.656

56,4,0.530
56,8,0.267
56,12,0.184
56,16,0.133
56,20,0.103
EPOCH56,0.534,72.366

57,4,0.544
57,8,0.267
57,12,0.178
57,16,0.131
57,20,0.106
EPOCH57,0.532,72.512

58,4,0.537
58,8,0.262
58,12,0.181
58,16,0.130
58,20,0.108
EPOCH58,0.531,72.456

59,4,0.513
59,8,0.267
59,12,0.178
59,16,0.134
59,20,0.102
EPOCH59,0.528,72.605

60,4,0.505
60,8,0.263
60,12,0.178
60,16,0.135
60,20,0.105
EPOCH60,0.527,72.632

61,4,0.534
61,8,0.260
61,12,0.170
61,16,0.136
61,20,0.106
EPOCH61,0.524,72.747

62,4,0.520
62,8,0.255
62,12,0.176
62,16,0.129
62,20,0.105
EPOCH62,0.522,72.420

63,4,0.521
63,8,0.259
63,12,0.178
63,16,0.129
63,20,0.102
EPOCH63,0.519,72.846

64,4,0.518
64,8,0.262
64,12,0.173
64,16,0.131
64,20,0.104
EPOCH64,0.516,72.922

65,4,0.526
65,8,0.260
65,12,0.164
65,16,0.130
65,20,0.104
EPOCH65,0.515,72.929

66,4,0.506
66,8,0.251
66,12,0.171
66,16,0.128
66,20,0.106
EPOCH66,0.514,72.525

67,4,0.503
67,8,0.251
67,12,0.178
67,16,0.130
67,20,0.101
EPOCH67,0.512,73.206

68,4,0.508
68,8,0.259
68,12,0.169
68,16,0.128
68,20,0.100
EPOCH68,0.509,73.050

69,4,0.500
69,8,0.246
69,12,0.172
69,16,0.132
69,20,0.100
EPOCH69,0.508,72.977

70,4,0.526
70,8,0.250
70,12,0.161
70,16,0.124
70,20,0.105
EPOCH70,0.506,73.203

71,4,0.505
71,8,0.249
71,12,0.168
71,16,0.124
71,20,0.104
EPOCH71,0.505,73.264

72,4,0.498
72,8,0.255
72,12,0.172
72,16,0.126
72,20,0.099
EPOCH72,0.504,73.255

73,4,0.506
73,8,0.246
