1,4,1.542
1,8,0.652
1,12,0.392
1,16,0.294
1,20,0.232
EPOCH1,1.259,53.681

2,4,1.139
2,8,0.556
2,12,0.368
2,16,0.275
2,20,0.220
EPOCH2,1.110,64.865

3,4,1.065
3,8,0.547
3,12,0.347
3,16,0.270
3,20,0.208
EPOCH3,1.063,67.556

4,4,1.018
4,8,0.506
4,12,0.343
4,16,0.261
4,20,0.212
EPOCH4,1.032,68.340

5,4,1.012
5,8,0.487
5,12,0.333
5,16,0.247
5,20,0.206
EPOCH5,1.005,68.789

6,4,0.950
6,8,0.524
6,12,0.321
6,16,0.246
6,20,0.194
EPOCH6,0.986,68.832

7,4,0.932
7,8,0.482
7,12,0.332
7,16,0.254
7,20,0.189
EPOCH7,0.969,68.994

8,4,0.982
8,8,0.462
8,12,0.308
8,16,0.233
8,20,0.189
EPOCH8,0.947,69.859

9,4,0.925
9,8,0.463
9,12,0.321
9,16,0.233
9,20,0.180
EPOCH9,0.929,70.074

10,4,0.938
10,8,0.467
10,12,0.304
10,16,0.228
10,20,0.176
EPOCH10,0.914,70.100

11,4,0.873
11,8,0.444
11,12,0.308
11,16,0.228
11,20,0.175
EPOCH11,0.897,70.386

12,4,0.898
12,8,0.441
12,12,0.282
12,16,0.230
12,20,0.172
EPOCH12,0.880,70.550

13,4,0.897
13,8,0.434
13,12,0.286
13,16,0.212
13,20,0.170
EPOCH13,0.865,70.649

14,4,0.871
14,8,0.430
14,12,0.272
14,16,0.216
14,20,0.171
EPOCH14,0.853,70.611

15,4,0.818
15,8,0.432
15,12,0.274
15,16,0.209
15,20,0.172
EPOCH15,0.838,70.763

16,4,0.844
16,8,0.406
16,12,0.282
16,16,0.206
16,20,0.164
EPOCH16,0.826,70.756

17,4,0.832
17,8,0.403
17,12,0.272
17,16,0.208
17,20,0.163
EPOCH17,0.818,70.732

18,4,0.809
18,8,0.418
18,12,0.262
18,16,0.213
18,20,0.163
EPOCH18,0.823,69.710

19,4,0.810
19,8,0.409
19,12,0.268
19,16,0.189
19,20,0.160
EPOCH19,0.798,70.420

20,4,0.772
20,8,0.388
20,12,0.273
20,16,0.190
20,20,0.153
EPOCH20,0.782,70.656

21,4,0.749
21,8,0.382
21,12,0.258
21,16,0.186
21,20,0.160
EPOCH21,0.769,70.819

22,4,0.761
22,8,0.382
22,12,0.256
22,16,0.188
22,20,0.149
EPOCH22,0.758,70.844

23,4,0.754
23,8,0.371
23,12,0.247
23,16,0.192
23,20,0.148
EPOCH23,0.747,70.909

24,4,0.730
24,8,0.342
24,12,0.255
24,16,0.184
24,20,0.157
EPOCH24,0.737,71.069

